,starch,sucrose,glucose,fructose,hexose,soluble,NSC,ratio
1,17.874,30.053,0.211,0.177,0.388,30.441,48.315,1.681 
2,14.696,23.115,0.081,0.073,0.155,23.269,37.965,1.573 
3,11.256,20.349,0.196,0.275,0.472,20.821,32.077,1.808 
4,13.547,24.12,0.206,0.171,0.377,24.497,38.044,1.780 
5,9.088,22.252,0.14,0.124,0.264,22.516,31.604,2.449 
6,11.858,22.258,0.109,0.121,0.23,22.488,34.346,1.877 
7,11.522,19.853,0.105,0.091,0.196,20.049,31.571,1.723 
8,11.393,25.693,0.159,0.171,0.329,26.023,37.416,2.255 
9,8.315,19.639,0.093,0.103,0.196,19.836,28.151,2.362 
10,5.728,17.529,0.125,0.131,0.256,17.785,23.513,3.060 
11,8.398,21.957,0.164,0.191,0.355,22.311,30.709,2.615 
12,8.312,24.737,0.06,0.077,0.137,24.875,33.187,2.976 
13,3.481,14.481,0.055,0.047,0.102,14.583,18.064,4.160 
14,3.062,16.442,0.026,0.023,0.048,16.49,19.552,5.370 
15,3.325,16.139,0.095,0.11,0.205,16.343,19.668,4.854 
16,5.859,19.013,0.102,0.15,0.252,19.264,25.124,3.245 
17,2.812,16.251,0.149,0.118,0.268,16.519,19.33,5.780 
18,2.029,13.118,0.098,0.101,0.198,13.317,15.346,6.465 
19,1.764,15.277,0.115,0.158,0.274,15.551,17.314,8.663 
20,1.506,11.256,0.186,0.233,0.419,11.676,13.182,7.472 
21,1.288,15.141,0.089,0.102,0.191,15.332,16.62,11.751 
22,5.292,18.386,0.149,0.163,0.313,18.699,23.99,3.475 
23,0.871,13.85,0.104,0.15,0.254,14.104,14.975,15.901 
24,0.639,13.072,0.089,0.135,0.223,13.295,13.934,20.452 
25,0.421,13.417,0.097,0.102,0.2,13.617,14.038,31.907 
26,0.404,13.012,0.087,0.079,0.166,13.178,13.583,32.178 
27,0.276,14.603,0.086,0.159,0.246,14.848,15.125,52.861 
28,0.189,11.571,0.04,0.03,0.07,11.641,11.83,61.135 
29,6.145,35.059,0.582,0.542,1.124,36.183,42.328,5.705 
30,9.491,38.321,0.828,0.817,1.645,39.966,49.457,4.038 
31,2.142,34.306,0.461,0.5,0.961,35.267,37.409,16.013 
32,3.811,40.719,0.554,0.566,1.12,41.839,45.65,10.684 
33,8.277,39.667,1.2,1.208,2.408,42.075,50.351,4.793 
34,8.037,49.482,1.347,1.281,2.628,52.11,60.147,6.157 
35,11.513,50.304,1.399,1.351,2.749,53.054,64.567,4.369 
36,12.56,39.61,1,0.961,1.961,41.571,54.131,3.154 
37,8.567,33.384,0.946,0.906,1.852,35.236,43.803,3.897 
38,7.657,45.373,0.799,0.689,1.488,46.861,54.518,5.926 
39,11.105,44.991,0.644,0.55,1.194,46.185,57.291,4.051 
40,12.603,51.081,1.234,1.057,2.292,53.372,65.975,4.053 
41,20.025,49.559,0.892,0.805,1.697,51.256,71.281,2.475 
42,17.183,45.113,0.807,0.666,1.473,46.587,63.77,2.625 
43,21.596,51.144,1.439,1.299,2.738,53.882,75.478,2.368 
44,19.912,52.561,1.138,1.01,2.148,54.709,74.62,2.640 
45,15.798,36.718,0.388,0.38,0.768,37.486,53.284,2.324 
46,12.82,31.908,0.311,0.281,0.593,32.5,45.321,2.489 
47,17.588,30.898,0.501,0.527,1.029,31.927,49.516,1.757 
48,24.805,44.986,0.385,0.358,0.742,45.728,70.534,1.814 
49,20.698,32.403,0.494,0.511,1.005,33.408,54.106,1.565 
50,17.635,32.28,0.419,0.397,0.816,33.096,50.731,1.830 
51,15.984,28.796,0.31,0.342,0.652,29.448,45.432,1.802 
52,20.648,31.61,0.582,0.635,1.217,32.827,53.475,1.531 
53,1.799,11.921,0.275,0.194,0.469,12.39,14.189,6.625 
54,5.13,16.591,0.102,0.096,0.198,16.789,21.919,3.234 
55,2.721,14.515,0.355,0.23,0.585,15.1,17.821,5.334 
56,3.456,14.317,0.319,0.203,0.522,14.839,18.295,4.143 
57,2.949,13.399,0.094,0.091,0.185,13.585,16.533,4.544 
58,2.411,13.792,0.281,0.2,0.481,14.273,16.684,5.722 
59,2.439,12.703,0.041,0.045,0.087,12.79,15.228,5.209 
60,0.849,9.993,0.292,0.242,0.534,10.527,11.375,11.772 
61,1.19,10.267,0.057,0.053,0.11,10.377,11.567,8.628 
62,1.092,9.299,0.27,0.165,0.435,9.734,10.826,8.516 
63,5.261,15.609,0.085,0.079,0.164,15.773,21.034,2.967 
64,1.525,9.603,0.227,0.118,0.345,9.948,11.473,6.295 
65,0.427,9.038,0.06,0.059,0.119,9.158,9.584,21.187 
66,0.384,7.387,0.186,0.117,0.303,7.69,8.074,19.233 
