name	condition	hour	replicate
hashida1-1	FIELD	19	1
hashida1-2	FIELD	19	2
hashida1-3	FIELD	19	3
hashida1-4	FIELD	19	4
hashida1-5	FIELD	21	1
hashida1-6	FIELD	21	2
hashida1-7	FIELD	21	3
hashida1-8	FIELD	21	4
hashida1-9	FIELD	23	1
hashida1-10	FIELD	23	2
hashida1-11	FIELD	23	3
hashida1-12	FIELD	23	4
hashida1-13	FIELD	1	1
hashida1-14	FIELD	1	2
hashida1-15	FIELD	1	3
hashida1-16	FIELD	1	4
hashida1-17	FIELD	3	1
hashida1-18	FIELD	3	2
hashida1-19	FIELD	3	3
hashida1-20	FIELD	3	4
hashida1-21	FIELD	5	1
hashida1-22	FIELD	5	2
hashida1-23	FIELD	5	3
hashida1-24	FIELD	5	4
hashida1-25	FIELD	7	1
hashida1-26	FIELD	7	2
hashida1-27	FIELD	7	3
hashida1-28	FIELD	7	4
hashida1-29	FIELD	9	1
hashida1-30	FIELD	9	2
hashida1-31	FIELD	9	3
hashida1-32	FIELD	9	4
hashida1-33	FIELD	11	1
hashida1-34	FIELD	11	2
hashida1-35	FIELD	11	3
hashida1-36	FIELD	11	4
hashida1-37	FIELD	13	1
hashida1-38	FIELD	13	2
hashida1-39	FIELD	13	3
hashida1-40	FIELD	13	4
hashida1-41	FIELD	15	1
hashida1-42	FIELD	15	2
hashida1-43	FIELD	15	3
hashida1-44	FIELD	15	4
hashida1-45	FIELD	17	1
hashida1-46	FIELD	17	2
hashida1-47	FIELD	17	3
hashida1-48	FIELD	17	4
hashida1-49	FIELD	19_2	1
hashida1-50	FIELD	19_2	2
hashida1-51	FIELD	19_2	3
hashida1-52	FIELD	19_2	4
hashida1-53	FL/FTH	19	1
hashida1-54	FL/FTH	19	2
hashida1-55	FL/FTH	19	3
hashida1-56	FL/FTH	19	4
hashida1-57	FL/FTH	21	1
hashida1-58	FL/FTH	21	2
hashida1-59	FL/FTH	21	3
hashida1-60	FL/FTH	21	4
hashida1-61	FL/FTH	23	1
hashida1-62	FL/FTH	23	2
hashida1-63	FL/FTH	23	3
hashida1-64	FL/FTH	23	4
hashida1-65	FL/FTH	1	1
hashida1-66	FL/FTH	1	2
hashida1-67	FL/FTH	1	3
