ID,condition,hour,replicate,index_marcogen
1,exp1_FIELD,19,1,9
2,exp1_FIELD,19,2,10
3,exp1_FIELD,19,3,11
4,exp1_FIELD,19,4,12
5,exp1_FIELD,21,1,13
6,exp1_FIELD,21,2,14
7,exp1_FIELD,21,3,15
8,exp1_FIELD,21,4,16
9,exp1_FIELD,23,1,17
10,exp1_FIELD,23,2,18
11,exp1_FIELD,23,3,19
12,exp1_FIELD,23,4,20
13,exp1_FIELD,1,1,21
14,exp1_FIELD,1,2,22
15,exp1_FIELD,1,3,23
16,exp1_FIELD,1,4,24
17,exp1_FIELD,3,1,25
18,exp1_FIELD,3,2,26
19,exp1_FIELD,3,3,27
20,exp1_FIELD,3,4,28
21,exp1_FIELD,5,1,29
22,exp1_FIELD,5,2,30
23,exp1_FIELD,5,3,31
24,exp1_FIELD,5,4,32
25,exp1_FIELD,7,1,33
26,exp1_FIELD,7,2,34
27,exp1_FIELD,7,3,35
28,exp1_FIELD,7,4,36
29,exp1_FIELD,9,1,37
30,exp1_FIELD,9,2,38
31,exp1_FIELD,9,3,39
32,exp1_FIELD,9,4,40
33,exp1_FIELD,11,1,41
34,exp1_FIELD,11,2,42
35,exp1_FIELD,11,3,43
36,exp1_FIELD,11,4,44
37,exp1_FIELD,13,1,45
38,exp1_FIELD,13,2,46
39,exp1_FIELD,13,3,47
40,exp1_FIELD,13,4,48
41,exp1_FIELD,15,1,49
42,exp1_FIELD,15,2,100
43,exp1_FIELD,15,3,51
44,exp1_FIELD,15,4,52
45,exp1_FIELD,17,1,53
46,exp1_FIELD,17,2,54
47,exp1_FIELD,17,3,55
48,exp1_FIELD,17,4,56
49,exp1_FIELD,19_2,1,57
50,exp1_FIELD,19_2,2,58
51,exp1_FIELD,19_2,3,59
52,exp1_FIELD,19_2,4,60
53,exp1_FL-FTH,19,1,61
54,exp1_FL-FTH,19,2,62
55,exp1_FL-FTH,19,3,63
56,exp1_FL-FTH,19,4,64
57,exp1_FL-FTH,21,1,65
58,exp1_FL-FTH,21,2,66
59,exp1_FL-FTH,21,3,67
60,exp1_FL-FTH,21,4,68
61,exp1_FL-FTH,23,1,69
62,exp1_FL-FTH,23,2,70
63,exp1_FL-FTH,23,3,71
64,exp1_FL-FTH,23,4,72
65,exp1_FL-FTH,1,1,73
66,exp1_FL-FTH,1,2,74
67,exp1_FL-FTH,1,3,75
68,exp1_FL-FTH,1,4,76
69,exp1_FL-FTH,3,1,77
70,exp1_FL-FTH,3,2,78
71,exp1_FL-FTH,3,3,79
72,exp1_FL-FTH,3,4,80
73,exp1_FL-FTH,5,1,81
74,exp1_FL-FTH,5,2,82
75,exp1_FL-FTH,5,3,83
76,exp1_FL-FTH,5,4,84
77,exp1_FL-FTH,7,1,85
78,exp1_FL-FTH,7,2,86
79,exp1_FL-FTH,7,3,87
80,exp1_FL-FTH,7,4,88
81,exp1_FL-FTH,9,1,109
82,exp1_FL-FTH,9,2,110
83,exp1_FL-FTH,9,3,111
84,exp1_FL-FTH,9,4,112
85,exp1_FL-FTH,11,1,113
86,exp1_FL-FTH,11,2,114
87,exp1_FL-FTH,11,3,115
88,exp1_FL-FTH,11,4,116
89,exp1_FL-FTH,13,1,117
90,exp1_FL-FTH,13,2,118
91,exp1_FL-FTH,13,3,119
92,exp1_FL-FTH,13,4,120
93,exp1_FL-FTH,15,1,121
94,exp1_FL-FTH,15,2,122
95,exp1_FL-FTH,15,3,123
96,exp1_FL-FTH,15,4,124
97,exp1_FL-FTH,17,1,125
98,exp1_FL-FTH,17,2,126
99,exp1_FL-FTH,17,3,127
100,exp1_FL-FTH,17,4,128
101,exp1_FL-FTH,19_2,1,129
102,exp1_FL-FTH,19_2,2,130
103,exp1_FL-FTH,19_2,3,131
104,exp1_FL-FTH,19_2,4,132
105,exp1_CL-CTH,19,1,133
106,exp1_CL-CTH,19,2,134
107,exp1_CL-CTH,19,3,135
108,exp1_CL-CTH,19,4,136
109,exp1_CL-CTH,21,1,137
110,exp1_CL-CTH,21,2,138
111,exp1_CL-CTH,21,3,139
112,exp1_CL-CTH,21,4,140
113,exp1_CL-CTH,23,1,141
114,exp1_CL-CTH,23,2,142
115,exp1_CL-CTH,23,3,143
116,exp1_CL-CTH,23,4,144
117,exp1_CL-CTH,1,1,145
118,exp1_CL-CTH,1,2,146
119,exp1_CL-CTH,1,3,147
120,exp1_CL-CTH,1,4,148
121,exp1_CL-CTH,3,1,149
122,exp1_CL-CTH,3,2,150
123,exp1_CL-CTH,3,3,151
124,exp1_CL-CTH,3,4,152
125,exp1_CL-CTH,5,1,153
126,exp1_CL-CTH,5,2,154
127,exp1_CL-CTH,5,3,155
128,exp1_CL-CTH,5,4,156
129,exp1_CL-CTH,7,1,157
130,exp1_CL-CTH,7,2,158
131,exp1_CL-CTH,7,3,159
132,exp1_CL-CTH,7,4,160
133,exp1_CL-CTH,9,1,161
134,exp1_CL-CTH,9,2,162
135,exp1_CL-CTH,9,3,163
136,exp1_CL-CTH,9,4,164
137,exp1_CL-CTH,11,1,165
138,exp1_CL-CTH,11,2,166
139,exp1_CL-CTH,11,3,167
140,exp1_CL-CTH,11,4,168
141,exp1_CL-CTH,13,1,169
142,exp1_CL-CTH,13,2,170
143,exp1_CL-CTH,13,3,171
144,exp1_CL-CTH,13,4,172
145,exp1_CL-CTH,15,1,173
146,exp1_CL-CTH,15,2,174
147,exp1_CL-CTH,15,3,175
148,exp1_CL-CTH,15,4,176
149,exp1_CL-CTH,17,1,177
150,exp1_CL-CTH,17,2,178
151,exp1_CL-CTH,17,3,179
152,exp1_CL-CTH,17,4,180
