name	index	library	condition	hour	replicate
OsaYH_6_1	9	OsaYH_6	FL/FTH	5	1
OsaYH_6_2	10	OsaYH_6	FL/FTH	5	2
OsaYH_6_3	11	OsaYH_6	FL/FTH	5	3
OsaYH_6_4	12	OsaYH_6	FL/FTH	5.5	1
OsaYH_6_5	13	OsaYH_6	FL/FTH	5.5	2
OsaYH_6_6	14	OsaYH_6	FL/FTH	5.5	3
OsaYH_6_7	15	OsaYH_6	FL/FTH	6	1
OsaYH_6_8	16	OsaYH_6	FL/FTH	6	2
OsaYH_6_9	17	OsaYH_6	FL/FTH	6	3
OsaYH_6_10	18	OsaYH_6	FL/FTH	6.5	1
OsaYH_6_11	19	OsaYH_6	FL/FTH	6.5	2
OsaYH_6_12	20	OsaYH_6	FL/FTH	6.5	3
OsaYH_6_13	21	OsaYH_6	FL/FTH	7	1
OsaYH_6_14	22	OsaYH_6	FL/FTH	7	2
OsaYH_6_15	23	OsaYH_6	FL/FTH	7	3
OsaYH_6_16	24	OsaYH_6	FL/FTH	8	1
OsaYH_6_17	25	OsaYH_6	FL/FTH	8	2
OsaYH_6_18	26	OsaYH_6	FL/FTH	8	3
OsaYH_6_19	27	OsaYH_6	FL/FTH	9	1
OsaYH_6_20	28	OsaYH_6	FL/FTH	9	2
OsaYH_6_21	29	OsaYH_6	FL/FTH	9	3
OsaYH_6_22	30	OsaYH_6	FL/FTH	10	1
OsaYH_6_23	31	OsaYH_6	FL/FTH	10	2
OsaYH_6_24	32	OsaYH_6	FL/FTH	10	3
OsaYH_6_25	33	OsaYH_6	FL/FTH	11	1
OsaYH_6_26	34	OsaYH_6	FL/FTH	11	2
OsaYH_6_27	35	OsaYH_6	FL/FTH	11	3
OsaYH_6_28	36	OsaYH_6	FL/FTH	13	1
OsaYH_6_29	37	OsaYH_6	FL/FTH	13	2
OsaYH_6_30	38	OsaYH_6	FL/FTH	13	3
OsaYH_6_31	39	OsaYH_6	FL/FTH	15	1
OsaYH_6_32	40	OsaYH_6	FL/FTH	15	2
OsaYH_6_33	41	OsaYH_6	FL/FTH	15	3
OsaYH_6_34	42	OsaYH_6	FL/FTH	16	1
OsaYH_6_35	43	OsaYH_6	FL/FTH	16	2
OsaYH_6_36	44	OsaYH_6	FL/FTH	16	3
OsaYH_6_37	45	OsaYH_6	FL/FTH	17	1
OsaYH_6_38	46	OsaYH_6	FL/FTH	17	2
OsaYH_6_39	47	OsaYH_6	FL/FTH	17	3
OsaYH_6_40	48	OsaYH_6	FL/FTH	17.5	1
OsaYH_6_41	49	OsaYH_6	FL/FTH	17.5	2
OsaYH_6_42	100	OsaYH_6	FL/FTH	17.5	3
OsaYH_6_43	51	OsaYH_6	FL/FTH	18	1
OsaYH_6_44	52	OsaYH_6	FL/FTH	18	2
OsaYH_6_45	53	OsaYH_6	FL/FTH	18	3
OsaYH_6_46	54	OsaYH_6	FL/FTH	18.5	1
OsaYH_6_47	55	OsaYH_6	FL/FTH	18.5	2
OsaYH_6_48	56	OsaYH_6	FL/FTH	18.5	3
OsaYH_6_49	57	OsaYH_6	FL/FTH	19_2	1
OsaYH_6_50	58	OsaYH_6	FL/FTH	19_2	2
OsaYH_6_51	59	OsaYH_6	FL/FTH	19_2	3
OsaYH_6_52	109	OsaYH_6	CL/CTH	5	1
OsaYH_6_53	110	OsaYH_6	CL/CTH	5	2
OsaYH_6_54	111	OsaYH_6	CL/CTH	5	3
OsaYH_6_55	112	OsaYH_6	CL/CTH	5.5	1
OsaYH_6_56	113	OsaYH_6	CL/CTH	5.5	2
OsaYH_6_57	114	OsaYH_6	CL/CTH	5.5	3
OsaYH_6_58	115	OsaYH_6	CL/CTH	6	1
OsaYH_6_59	116	OsaYH_6	CL/CTH	6	2
OsaYH_6_60	117	OsaYH_6	CL/CTH	6	3
OsaYH_6_61	118	OsaYH_6	CL/CTH	6.5	1
OsaYH_6_62	119	OsaYH_6	CL/CTH	6.5	2
OsaYH_6_63	120	OsaYH_6	CL/CTH	6.5	3
OsaYH_6_64	121	OsaYH_6	CL/CTH	7	1
OsaYH_6_65	122	OsaYH_6	CL/CTH	7	2
OsaYH_6_66	123	OsaYH_6	CL/CTH	7	3
OsaYH_6_67	124	OsaYH_6	CL/CTH	8	1
OsaYH_6_68	125	OsaYH_6	CL/CTH	8	2
OsaYH_6_69	126	OsaYH_6	CL/CTH	8	3
OsaYH_6_70	127	OsaYH_6	CL/CTH	9	1
OsaYH_6_71	128	OsaYH_6	CL/CTH	9	2
OsaYH_6_72	129	OsaYH_6	CL/CTH	9	3
OsaYH_6_73	130	OsaYH_6	CL/CTH	10	1
OsaYH_6_74	131	OsaYH_6	CL/CTH	10	2
OsaYH_6_75	132	OsaYH_6	CL/CTH	10	3
OsaYH_6_76	133	OsaYH_6	CL/CTH	11	1
OsaYH_6_77	134	OsaYH_6	CL/CTH	11	2
OsaYH_6_78	135	OsaYH_6	CL/CTH	11	3
OsaYH_6_79	136	OsaYH_6	CL/CTH	13	1
OsaYH_6_80	137	OsaYH_6	CL/CTH	13	2
OsaYH_6_81	138	OsaYH_6	CL/CTH	13	3
OsaYH_6_82	139	OsaYH_6	CL/CTH	15	1
OsaYH_6_83	140	OsaYH_6	CL/CTH	15	2
OsaYH_6_84	141	OsaYH_6	CL/CTH	15	3
OsaYH_6_85	142	OsaYH_6	CL/CTH	16	1
OsaYH_6_86	143	OsaYH_6	CL/CTH	16	2
OsaYH_6_87	144	OsaYH_6	CL/CTH	16	3
OsaYH_6_88	145	OsaYH_6	CL/CTH	17	1
OsaYH_6_89	146	OsaYH_6	CL/CTH	17	2
OsaYH_6_90	147	OsaYH_6	CL/CTH	17	3
OsaYH_6_91	148	OsaYH_6	CL/CTH	17.5	1
OsaYH_6_92	149	OsaYH_6	CL/CTH	17.5	2
OsaYH_6_93	150	OsaYH_6	CL/CTH	17.5	3
OsaYH_6_94	151	OsaYH_6	CL/CTH	18	1
OsaYH_6_95	152	OsaYH_6	CL/CTH	18	2
OsaYH_6_96	153	OsaYH_6	CL/CTH	18	3
OsaYH_6_97	154	OsaYH_6	CL/CTH	18.5	1
OsaYH_6_98	155	OsaYH_6	CL/CTH	18.5	2
OsaYH_6_99	156	OsaYH_6	CL/CTH	18.5	3
OsaYH_6_100	157	OsaYH_6	CL/CTH	19_2	1
OsaYH_6_101	158	OsaYH_6	CL/CTH	19_2	2
OsaYH_6_102	159	OsaYH_6	CL/CTH	19_2	3
OsaYH_7_1	9	OsaYH_7	FL/CTH	5	1
OsaYH_7_2	10	OsaYH_7	FL/CTH	5	2
OsaYH_7_3	11	OsaYH_7	FL/CTH	5	3
OsaYH_7_4	12	OsaYH_7	FL/CTH	5.5	1
OsaYH_7_5	13	OsaYH_7	FL/CTH	5.5	2
OsaYH_7_6	14	OsaYH_7	FL/CTH	5.5	3
OsaYH_7_7	15	OsaYH_7	FL/CTH	6	1
OsaYH_7_8	16	OsaYH_7	FL/CTH	6	2
OsaYH_7_9	17	OsaYH_7	FL/CTH	6	3
OsaYH_7_10	18	OsaYH_7	FL/CTH	6.5	1
OsaYH_7_11	19	OsaYH_7	FL/CTH	6.5	2
OsaYH_7_12	20	OsaYH_7	FL/CTH	6.5	3
OsaYH_7_13	21	OsaYH_7	FL/CTH	7	1
OsaYH_7_14	22	OsaYH_7	FL/CTH	7	2
OsaYH_7_15	23	OsaYH_7	FL/CTH	7	3
OsaYH_7_16	24	OsaYH_7	FL/CTH	8	1
OsaYH_7_17	25	OsaYH_7	FL/CTH	8	2
OsaYH_7_18	26	OsaYH_7	FL/CTH	8	3
