alias	msu	rap
OsLRR-RLK1	Os06g47650	Os06g0691800
OsMPK3	Os03g17700	Os03g0285800
OsMPK6	Os06g06090	Os06g0154500
OsWRKY70	Os05g39720	Os05g0474800
OsWRKY53	Os05g27730	Os05g0343400
OsWRKY45	Os05g25770	Os05g0322900
OsWRKY33	Os03g33012	Os03g0444900
OsWRKY30	Os08g38990	Os08g0499300
OsWRKY24	Os01g61080	Os01g0826400
OsWRKY13	Os01g54600	Os01g0750100
OsHI-LOX	Os08g39840	Os08g0508800
OsAOS1	Os03g55800	Os03g0767000
OsAOC-1	Os03g32314	Os03g0438100
OsAOC-2	Os03g32314	Os03g0438200
OsOPR3	Os08g35740	Os08g0459600
OsJAR1	Os05g50890	Os05g0586200
