"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"1",1,19,0,19.3,18.5,78,80
"2",1,19,1,18.7,18.5,77,80
"3",1,19,2,18.5,18.5,79,80
"4",1,19,3,19.2,18.5,80,80
"5",1,19,4,18.4,18.5,79,80
"6",1,19,5,18.6,18.5,83,80
"7",1,19,6,19.1,18.5,79,80
"8",1,19,7,18.4,18.5,78,80
"9",1,19,8,18.7,18.5,83,80
"10",1,19,9,18.9,18.5,75,80
"11",1,19,10,18.4,18.5,79,80
"12",1,19,11,18.9,18.5,84,80
"13",1,19,12,18.8,18.5,77,80
"14",1,19,13,18.4,18.5,78,80
"15",1,19,14,18.9,18.5,84,80
"16",1,19,15,18.9,18.5,76,80
"17",1,19,16,18.3,18.5,78,80
"18",1,19,17,18.8,18.5,83,80
"19",1,19,18,18.9,18.5,76,80
"20",1,19,19,18.3,18.5,78,80
"21",1,19,20,18.7,18.5,83,80
"22",1,19,21,18.9,18.5,76,80
"23",1,19,22,18.2,18.5,79,80
"24",1,19,23,18.7,18.5,83,80
"25",1,19,24,18.9,18.5,76,80
"26",1,19,25,18.3,18.5,80,80
"27",1,19,26,18.8,18.5,84,80
"28",1,19,27,18.7,18.5,79,80
"29",1,19,28,18.9,18.5,85,80
"30",1,19,29,18.6,18.5,82,80
"31",1,19,30,18.8,18.5,83,80
"32",1,19,31,18.5,18.5,83,80
"33",1,19,32,18.7,18.5,78,80
"34",1,19,33,18.5,18.5,84,80
"35",1,19,34,18.5,18.5,77,80
"36",1,19,35,18.5,18.5,85,80
"37",1,19,36,18.3,18.5,81,80
"38",1,19,37,18.6,18.5,83,80
"39",1,19,38,18.3,18.5,83,80
"40",1,19,39,18.6,18.5,79,80
"41",1,19,40,18.5,18.5,84,80
"42",1,19,41,18.5,18.5,77,80
"43",1,19,42,18.6,18.5,85,80
"44",1,19,43,18.3,18.5,81,80
"45",1,19,44,18.6,18.5,82,80
"46",1,19,45,18.3,18.5,83,80
"47",1,19,46,18.5,18.5,78,80
"48",1,19,47,18.5,18.5,84,80
"49",1,19,48,18.4,18.5,79,80
"50",1,19,49,18.6,18.5,85,80
"51",1,19,50,18.3,18.5,82,80
"52",1,19,51,18.6,18.5,81,80
"53",1,19,52,18.3,18.5,83,80
"54",1,19,53,18.5,18.5,77,80
"55",1,19,54,18.5,18.5,85,80
"56",1,19,55,18.3,18.5,81,80
"57",1,19,56,18.6,18.5,83,80
"58",1,19,57,18.3,18.5,83,80
"59",1,19,58,18.5,18.5,78,80
"60",1,19,59,18.4,18.5,84,80
"61",1,20,0,18.4,18.5,78,80
"62",1,20,1,18.6,18.5,85,80
"63",1,20,2,18.3,18.5,82,80
"64",1,20,3,18.6,18.5,80,80
"65",1,20,4,18.4,18.5,84,80
"66",1,20,5,18.5,18.5,77,80
"67",1,20,6,18.5,18.5,84,80
"68",1,20,7,18.3,18.5,80,80
"69",1,20,8,18.5,18.5,85,80
"70",1,20,9,18.3,18.5,82,80
"71",1,20,10,18.6,18.5,82,80
"72",1,20,11,18.3,18.5,83,80
"73",1,20,12,18.5,18.5,78,80
"74",1,20,13,18.4,18.5,84,80
"75",1,20,14,18.4,18.5,77,80
"76",1,20,15,18.5,18.5,84,80
"77",1,20,16,18.3,18.5,80,80
"78",1,20,17,18.6,18.5,85,80
"79",1,20,18,18.2,18.5,82,80
"80",1,20,19,18.5,18.5,81,80
"81",1,20,20,18.3,18.5,83,80
"82",1,20,21,18.5,18.5,79,80
"83",1,20,22,18.4,18.5,84,80
"84",1,20,23,18.4,18.5,77,80
"85",1,20,24,18.4,18.5,84,80
"86",1,20,25,18.3,18.5,80,80
"87",1,20,26,18.6,18.5,85,80
"88",1,20,27,18.2,18.5,82,80
"89",1,20,28,18.5,18.5,81,80
"90",1,20,29,18.3,18.5,83,80
"91",1,20,30,18.5,18.5,78,80
"92",1,20,31,18.4,18.5,84,80
"93",1,20,32,18.4,18.5,77,80
"94",1,20,33,18.5,18.5,85,80
"95",1,20,34,18.3,18.5,81,80
"96",1,20,35,18.6,18.5,85,80
"97",1,20,36,18.3,18.5,82,80
"98",1,20,37,18.5,18.5,81,80
"99",1,20,38,18.3,18.5,83,80
"100",1,20,39,18.4,18.5,78,80
"101",1,20,40,18.4,18.5,84,80
"102",1,20,41,18.4,18.5,79,80
"103",1,20,42,18.5,18.5,85,80
"104",1,20,43,18.2,18.5,82,80
"105",1,20,44,18.6,18.5,84,80
"106",1,20,45,18.3,18.5,82,80
"107",1,20,46,18.4,18.5,81,80
"108",1,20,47,18.3,18.5,83,80
"109",1,20,48,18.5,18.5,77,80
"110",1,20,49,18.4,18.5,84,80
"111",1,20,50,18.3,18.5,78,80
"112",1,20,51,18.5,18.5,85,80
"113",1,20,52,18.3,18.5,81,80
"114",1,20,53,18.5,18.5,84,80
"115",1,20,54,18.2,18.5,83,80
"116",1,20,55,18.5,18.5,81,80
"117",1,20,56,18.2,18.5,83,80
"118",1,20,57,18.4,18.5,77,80
"119",1,20,58,18.5,18.5,84,80
"120",1,20,59,18.4,18.5,77,80
"121",1,21,0,18.5,18.5,85,80
"122",1,21,1,18.2,18.5,81,80
"123",1,21,2,18.7,18.5,84,80
"124",1,21,3,18.2,18.5,83,80
"125",1,21,4,18.5,18.5,80,80
"126",1,21,5,18.4,18.5,83,80
"127",1,21,6,18.4,18.5,77,80
"128",1,21,7,18.4,18.5,84,80
"129",1,21,8,18.3,18.5,78,80
"130",1,21,9,18.6,18.5,85,80
"131",1,21,10,18.2,18.5,81,80
"132",1,21,11,18.6,18.5,85,80
"133",1,21,12,18.2,18.5,82,80
"134",1,21,13,18.6,18.5,83,80
"135",1,21,14,18.2,18.5,83,80
"136",1,21,15,18.5,18.5,80,80
"137",1,21,16,18.3,18.5,83,80
"138",1,21,17,18.4,18.5,78,80
"139",1,21,18,18.4,18.5,84,80
"140",1,21,19,18.4,18.5,77,80
"141",1,21,20,18.5,18.5,85,80
"142",1,21,21,18.2,18.5,80,80
"143",1,21,22,18.5,18.5,85,80
"144",1,21,23,18.2,18.5,82,80
"145",1,21,24,18.5,18.5,84,80
"146",1,21,25,18.3,18.5,82,80
"147",1,21,26,18.6,18.5,81,80
"148",1,21,27,18.3,18.5,83,80
"149",1,21,28,18.5,18.5,78,80
"150",1,21,29,18.4,18.5,84,80
"151",1,21,30,18.5,18.5,77,80
"152",1,21,31,18.4,18.5,84,80
"153",1,21,32,18.2,18.5,79,80
"154",1,21,33,18.6,18.5,85,80
"155",1,21,34,18.2,18.5,81,80
"156",1,21,35,18.5,18.5,84,80
"157",1,21,36,18.2,18.5,82,80
"158",1,21,37,18.5,18.5,82,80
"159",1,21,38,18.3,18.5,83,80
"160",1,21,39,18.4,18.5,79,80
"161",1,21,40,18.3,18.5,83,80
"162",1,21,41,18.4,18.5,77,80
"163",1,21,42,18.4,18.5,84,80
"164",1,21,43,18.4,18.5,77,80
"165",1,21,44,18.4,18.5,84,80
"166",1,21,45,18.3,18.5,80,80
"167",1,21,46,18.5,18.5,85,80
"168",1,21,47,18.2,18.5,82,80
"169",1,21,48,18.5,18.5,84,80
"170",1,21,49,18.2,18.5,83,80
"171",1,21,50,18.5,18.5,81,80
"172",1,21,51,18.3,18.5,83,80
"173",1,21,52,18.4,18.5,78,80
"174",1,21,53,18.4,18.5,84,80
"175",1,21,54,18.4,18.5,77,80
"176",1,21,55,18.5,18.5,84,80
"177",1,21,56,18.3,18.5,79,80
"178",1,21,57,18.5,18.5,85,80
"179",1,21,58,18.2,18.5,82,80
"180",1,21,59,18.6,18.5,83,80
"181",1,22,0,18.2,18.5,83,80
"182",1,22,1,18.5,18.5,80,80
"183",1,22,2,18.2,18.5,83,80
"184",1,22,3,18.5,18.5,78,80
"185",1,22,4,18.3,18.5,84,80
"186",1,22,5,18.4,18.5,77,80
"187",1,22,6,18.4,18.5,84,80
"188",1,22,7,18.3,18.5,79,80
"189",1,22,8,18.6,18.5,85,80
"190",1,22,9,18.3,18.5,81,80
"191",1,22,10,18.5,18.5,84,80
"192",1,22,11,18.2,18.5,82,80
"193",1,22,12,18.5,18.5,83,80
"194",1,22,13,18.2,18.5,83,80
"195",1,22,14,18.5,18.5,80,80
"196",1,22,15,18.3,18.5,83,80
"197",1,22,16,18.4,18.5,77,80
"198",1,22,17,18.4,18.5,84,80
"199",1,22,18,18.4,18.5,77,80
"200",1,22,19,18.5,18.5,84,80
"201",1,22,20,18.3,18.5,79,80
"202",1,22,21,18.5,18.5,85,80
"203",1,22,22,18.2,18.5,82,80
"204",1,22,23,18.5,18.5,83,80
"205",1,22,24,18.2,18.5,82,80
"206",1,22,25,18.5,18.5,81,80
"207",1,22,26,18.2,18.5,83,80
"208",1,22,27,18.4,18.5,79,80
"209",1,22,28,18.4,18.5,84,80
"210",1,22,29,18.4,18.5,77,80
"211",1,22,30,18.4,18.5,84,80
"212",1,22,31,18.3,18.5,79,80
"213",1,22,32,18.5,18.5,85,80
"214",1,22,33,18.2,18.5,81,80
"215",1,22,34,18.6,18.5,85,80
"216",1,22,35,18.2,18.5,82,80
"217",1,22,36,18.5,18.5,82,80
"218",1,22,37,18.3,18.5,83,80
"219",1,22,38,18.4,18.5,79,80
"220",1,22,39,18.4,18.5,84,80
"221",1,22,40,18.4,18.5,77,80
"222",1,22,41,18.4,18.5,84,80
"223",1,22,42,18.3,18.5,79,80
"224",1,22,43,18.5,18.5,85,80
"225",1,22,44,18.2,18.5,82,80
"226",1,22,45,18.6,18.5,84,80
"227",1,22,46,18.2,18.5,82,80
"228",1,22,47,18.5,18.5,82,80
"229",1,22,48,18.3,18.5,83,80
"230",1,22,49,18.4,18.5,78,80
"231",1,22,50,18.4,18.5,84,80
"232",1,22,51,18.4,18.5,77,80
"233",1,22,52,18.4,18.5,84,80
"234",1,22,53,18.3,18.5,80,80
"235",1,22,54,18.6,18.5,85,80
"236",1,22,55,18.2,18.5,81,80
"237",1,22,56,18.5,18.5,84,80
"238",1,22,57,18.2,18.5,83,80
"239",1,22,58,18.5,18.5,79,80
"240",1,22,59,18.3,18.5,83,80
"241",1,23,0,18.4,18.5,77,80
"242",1,23,1,18.5,18.5,84,80
"243",1,23,2,18.3,18.5,77,80
"244",1,23,3,18.4,18.5,84,80
"245",1,23,4,18.3,18.5,80,80
"246",1,23,5,18.6,18.5,85,80
"247",1,23,6,18.2,18.5,82,80
"248",1,23,7,18.6,18.5,83,80
"249",1,23,8,18.3,18.5,83,80
"250",1,23,9,18.5,18.5,79,80
"251",1,23,10,18.3,18.5,83,80
"252",1,23,11,18.4,18.5,78,80
"253",1,23,12,18.4,18.5,84,80
"254",1,23,13,18.4,18.5,77,80
"255",1,23,14,18.4,18.5,84,80
"256",1,23,15,18.2,18.5,80,80
"257",1,23,16,18.5,18.5,85,80
"258",1,23,17,18.3,18.5,82,80
"259",1,23,18,18.5,18.5,83,80
"260",1,23,19,18.2,18.5,82,80
"261",1,23,20,18.5,18.5,81,80
"262",1,23,21,18.3,18.5,83,80
"263",1,23,22,18.4,18.5,78,80
"264",1,23,23,18.4,18.5,84,80
"265",1,23,24,18.3,18.5,77,80
"266",1,23,25,18.5,18.5,84,80
"267",1,23,26,18.2,18.5,80,80
"268",1,23,27,18.5,18.5,85,80
"269",1,23,28,18.2,18.5,82,80
"270",1,23,29,18.6,18.5,84,80
"271",1,23,30,18.2,18.5,83,80
"272",1,23,31,18.6,18.5,81,80
"273",1,23,32,18.3,18.5,83,80
"274",1,23,33,18.5,18.5,78,80
"275",1,23,34,18.4,18.5,84,80
"276",1,23,35,18.4,18.5,77,80
"277",1,23,36,18.4,18.5,84,80
"278",1,23,37,18.4,18.5,77,80
"279",1,23,38,18.5,18.5,85,80
"280",1,23,39,18.2,18.5,80,80
"281",1,23,40,18.5,18.5,85,80
"282",1,23,41,18.2,18.5,82,80
"283",1,23,42,18.5,18.5,83,80
"284",1,23,43,18.2,18.5,82,80
"285",1,23,44,18.5,18.5,81,80
"286",1,23,45,18.3,18.5,83,80
"287",1,23,46,18.4,18.5,77,80
"288",1,23,47,18.4,18.5,84,80
"289",1,23,48,18.5,18.5,77,80
"290",1,23,49,18.4,18.5,84,80
"291",1,23,50,18.3,18.5,80,80
"292",1,23,51,18.5,18.5,85,80
"293",1,23,52,18.2,18.5,81,80
"294",1,23,53,18.6,18.5,84,80
"295",1,23,54,18.3,18.5,82,80
"296",1,23,55,18.5,18.5,82,80
"297",1,23,56,18.2,18.5,83,80
"298",1,23,57,18.4,18.5,78,80
"299",1,23,58,18.3,18.5,84,80
"300",1,23,59,18.3,18.5,77,80
"301",2,0,0,18.5,18.5,84,80
"302",2,0,1,18.6,18.5,82,80
"303",2,0,2,18.6,18.5,80,80
"304",2,0,3,18.3,18.5,83,80
"305",2,0,4,18.4,18.5,78,80
"306",2,0,5,18.4,18.5,84,80
"307",2,0,6,18.3,18.5,77,80
"308",2,0,7,18.4,18.5,85,80
"309",2,0,8,18.2,18.5,80,80
"310",2,0,9,18.6,18.5,85,80
"311",2,0,10,18.2,18.5,82,80
"312",2,0,11,18.5,18.5,83,80
"313",2,0,12,18.3,18.5,83,80
"314",2,0,13,18.5,18.5,80,80
"315",2,0,14,18.3,18.5,83,80
"316",2,0,15,18.4,18.5,77,80
"317",2,0,16,18.4,18.5,84,80
"318",2,0,17,18.4,18.5,77,80
"319",2,0,18,18.5,18.5,84,80
"320",2,0,19,18.2,18.5,80,80
"321",2,0,20,18.5,18.5,85,80
"322",2,0,21,18.2,18.5,82,80
"323",2,0,22,18.5,18.5,82,80
"324",2,0,23,18.3,18.5,83,80
"325",2,0,24,18.4,18.5,79,80
"326",2,0,25,18.3,18.5,84,80
"327",2,0,26,18.4,18.5,77,80
"328",2,0,27,18.4,18.5,84,80
"329",2,0,28,18.4,18.5,78,80
"330",2,0,29,18.5,18.5,85,80
"331",2,0,30,18.2,18.5,80,80
"332",2,0,31,18.5,18.5,85,80
"333",2,0,32,18.2,18.5,82,80
"334",2,0,33,18.5,18.5,83,80
"335",2,0,34,18.2,18.5,83,80
"336",2,0,35,18.5,18.5,78,80
"337",2,0,36,18.3,18.5,84,80
"338",2,0,37,18.3,18.5,78,80
"339",2,0,38,18.4,18.5,84,80
