"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"1",1,19,0,20.5,20.5,80,80
"2",1,19,1,21.1,20.5,75,80
"3",1,19,2,20.1,20.5,78,80
"4",1,19,3,20.8,20.6,82,80
"5",1,19,4,21,20.6,74,80
"6",1,19,5,20.2,20.5,80,80
"7",1,19,6,20.9,20.5,84,80
"8",1,19,7,20.7,20.4,75,80
"9",1,19,8,20.1,20.3,80,80
"10",1,19,9,20.7,20.2,84,80
"11",1,19,10,20.1,20.1,75,80
"12",1,19,11,19.9,20,81,80
"13",1,19,12,20.6,20,84,80
"14",1,19,13,19.8,19.9,77,80
"15",1,19,14,19.8,19.8,81,80
"16",1,19,15,20.3,19.8,83,80
"17",1,19,16,19.6,19.8,78,80
"18",1,19,17,19.9,19.9,82,80
"19",1,19,18,20.3,20.1,81,80
"20",1,19,19,20.3,20.4,83,80
"21",1,19,20,20.5,20.5,77,80
"22",1,19,21,20.6,20.7,84,80
"23",1,19,22,20.6,20.7,80,80
"24",1,19,23,20.8,20.7,85,80
"25",1,19,24,20.6,20.8,82,80
"26",1,19,25,20.7,20.8,83,80
"27",1,19,26,21,20.8,77,80
"28",1,19,27,20.9,20.8,84,80
"29",1,19,28,20.8,20.8,80,80
"30",1,19,29,20.9,20.7,85,80
"31",1,19,30,20.6,20.6,81,80
"32",1,19,31,20.8,20.4,82,80
"33",1,19,32,20.4,20.3,82,80
"34",1,19,33,20.6,20.3,78,80
"35",1,19,34,20.4,20.3,83,80
"36",1,19,35,20.3,20.2,77,80
"37",1,19,36,20.3,20.2,84,80
"38",1,19,37,20.1,20.2,79,80
"39",1,19,38,20.3,20.2,85,80
"40",1,19,39,20,20.2,81,80
"41",1,19,40,20.3,20.2,84,80
"42",1,19,41,20.1,20.2,82,80
"43",1,19,42,20.3,20.2,80,80
"44",1,19,43,20.1,20.3,83,80
"45",1,19,44,20.2,20.2,77,80
"46",1,19,45,20.2,20.2,84,80
"47",1,19,46,20,20.2,79,80
"48",1,19,47,20.3,20.2,85,80
"49",1,19,48,20,20.2,81,80
"50",1,19,49,20.3,20.2,83,80
"51",1,19,50,19.9,20.2,82,80
"52",1,19,51,20.2,20.2,80,80
"53",1,19,52,20.1,20.2,78,80
"54",1,19,53,20.3,20.2,83,80
